fixture_id,home_team_id,away_team_id,season,league_key,venue_code,opp_code,hour,day_code,home_goals_scored_rolling,home_goals_conceded_rolling,home_wins_rolling,home_clean_sheets_rolling,home_win_streak,home_form_momentum,opp_goals_scored_rolling,opp_goals_conceded_rolling,opp_wins_rolling,opp_clean_sheets_rolling,opp_win_streak,opp_form_momentum,h2h_win_rate,home_elo,away_elo,elo_diff,home_form_at_home,away_form_away,home_xg,away_xg,forecast_home_win,forecast_draw,forecast_away_win,home_xg_rolling,opp_xg_rolling,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_possession,away_possession,home_injuries,away_injuries,injury_diff,home_goals,away_goals,result,match_date,attack_vs_defence,opp_attack_vs_defence,form_diff,goal_diff_rolling,opp_goal_diff_rolling,home_sot_ratio,away_sot_ratio,sot_diff,possession_diff,corners_diff,shots_diff,shots_on_target_diff,xg_diff,xg_rolling_diff,home_form_adj,away_form_adj,form_adj_diff,venue_elo_boost
610751,244,3842,2021,LIGA,1,3842,19,4,1.0,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,1.8234,1.4533,0.4555,0.277,0.2675,0.0,0.0,16.0,8.0,0.0,1.0,4.0,5.0,74.3,25.7,0,0,0,1,1,1,2021-08-20 19:00:00+00:00,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,0.1234567901234568,-0.1234567901234568,48.599999999999994,-1.0,8.0,-1.0,0.3700999999999999,0.0,0.0,0.0,0.0,0.0
606020,364,379,2021,EPL,1,379,11,5,3.0,0.0,1.0,1.0,1,1.0,1.0,2.0,0.0,0.0,0,0.0,0.5,1510.0,1490.0,20.0,1.0,0.0,2.6394,0.6905,0.8118,0.1329,0.0553,0.0,0.0,27.0,9.0,0.0,0.0,8.0,4.0,66.5,33.5,0,0,0,2,0,2,2021-08-21 11:30:00+00:00,1.4285714285714286,10.0,1.0,3.0,-1.0,0.0,0.0,0.0,33.0,4.0,18.0,0.0,1.9489,0.0,1.0,0.0,1.0,70.0
606025,362,361,2021,EPL,1,361,14,5,2.0,3.0,0.0,0.0,0,0.0,2.0,4.0,0.0,0.0,0,0.0,0.5,1490.0,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,1.0,0.0,3.0,4.0,47.3,52.7,0,0,0,2,0,2,2021-08-21 14:00:00+00:00,0.48780487804878053,0.6451612903225806,0.0,-1.0,-2.0,0.09900990099009901,0.0,0.09900990099009901,-5.400000000000006,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
606026,382,381,2021,EPL,1,381,14,5,0.0,1.0,0.0,0.0,0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.5,1490.0,1490.0,0.0,0.0,0.0,2.4393,0.025,0.9626,0.0367,0.0007,0.0,0.0,16.0,1.0,0.0,0.0,6.0,1.0,66.9,33.1,0,0,0,5,0,2,2021-08-21 14:00:00+00:00,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0,0.0,33.800000000000004,5.0,15.0,0.0,2.4143,0.0,0.0,0.0,0.0,0.0
606019,384,337,2021,EPL,1,337,14,5,0.0,3.0,0.0,0.0,0,0.0,2.0,0.0,1.0,1.0,1,1.0,0.5,1490.0,1510.0,-20.0,0.0,1.0,0.6063,0.7124,0.2744,0.3907,0.3349,0.0,0.0,7.0,14.0,0.0,0.0,3.0,5.0,52.7,47.3,0,0,0,0,0,1,2021-08-21 14:00:00+00:00,0.0,0.6451612903225806,-1.0,-3.0,2.0,0.0,0.0,0.0,5.400000000000006,-2.0,-7.0,0.0,-0.10610000000000008,0.0,0.0,1.0,-1.0,-20.0
606022,357,368,2021,EPL,1,368,14,5,1.0,5.0,0.0,0.0,0,0.0,3.0,1.0,1.0,0.0,1,1.0,0.5,1490.0,1510.0,-20.0,0.0,1.0,0.9661,1.8571,0.1373,0.232,0.6307,0.0,0.0,17.0,17.0,0.0,1.0,8.0,5.0,70.0,30.0,0,0,0,2,2,1,2021-08-21 14:00:00+00:00,0.9090909090909091,0.5882352941176471,-1.0,-4.0,2.0,0.0,0.05847953216374269,-0.05847953216374269,40.0,3.0,0.0,-1.0,-0.891,0.0,0.0,1.0,-1.0,-20.0
610754,96,84,2021,LIGA,1,84,15,5,1.0,4.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.5,1490.0,1500.0,-10.0,0.0,0.0,0.921,0.8241,0.369,0.3405,0.2905,1.411,0.0,9.0,12.0,0.0,0.0,1.0,8.0,47.3,52.7,0,0,0,0,1,0,2021-08-21 15:00:00+00:00,0.9090909090909091,0.24390243902439027,0.0,-3.0,0.0,0.0,0.0,0.0,-5.400000000000006,-7.0,-3.0,0.0,0.09689999999999999,1.411,0.0,0.0,0.0,-10.0
606028,331,395,2021,EPL,1,395,16,5,2.0,1.0,1.0,0.0,1,1.0,3.0,2.0,1.0,0.0,1,1.0,0.5,1510.0,1510.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,7.0,2.0,56.9,43.1,0,0,0,2,0,2,2021-08-21 16:30:00+00:00,0.9523809523809523,2.727272727272727,0.0,1.0,1.0,0.0,0.0,0.0,13.799999999999997,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,50.0
610759,88,102,2021,LIGA,1,102,17,5,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.5,1500.0,1500.0,0.0,0.0,0.0,1.6886,0.5972,0.67,0.2256,0.1044,0.0,0.0,14.0,12.0,0.0,0.0,9.0,7.0,40.4,59.6,0,0,0,0,0,1,2021-08-21 17:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.200000000000003,2.0,2.0,0.0,1.0914000000000001,0.0,0.0,0.0,0.0,0.0
610758,3747,94,2021,LIGA,1,94,17,5,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,1.0,1,1.0,0.5,1500.0,1510.0,-10.0,0.0,1.0,0.7527,1.5002,0.1407,0.2794,0.5799,0.0,0.0,9.0,18.0,0.0,1.0,2.0,6.0,46.3,53.7,0,0,0,1,1,1,2021-08-21 17:30:00+00:00,0.0,10.0,-1.0,0.0,1.0,0.0,0.055248618784530384,-0.055248618784530384,-7.400000000000006,-4.0,-9.0,-1.0,-0.7474999999999999,0.0,0.0,1.0,-1.0,-10.0
