fixture_id,home_team_id,away_team_id,season,league_key,venue_code,opp_code,hour,day_code,goals_scored_rolling,goals_conceded_rolling,wins_rolling,clean_sheets_rolling,win_streak,form_momentum,opp_goals_scored_rolling,opp_goals_conceded_rolling,opp_wins_rolling,opp_clean_sheets_rolling,opp_win_streak,opp_form_momentum,h2h_win_rate,home_elo,away_elo,elo_diff,home_form_at_home,away_form_away,home_xg,away_xg,forecast_home_win,forecast_draw,forecast_away_win,home_xg_rolling,opp_xg_rolling,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_possession,away_possession,home_injuries,away_injuries,injury_diff
606023,371,375,2021,EPL,1,375,19,0,4.0,2.0,1.0,0.0,1,1.0,1.0,0.0,1.0,1.0,1,1.0,0.5,1510.0,1510.0,0.0,1.0,1.0,2.2861,0.6268,0.7776,0.1655,0.0569,0.0,0.0,19.0,5.0,0.0,0.0,10.0,0.0,51.4,48.6,0,0,0
610752,97,85,2021,LIGA,1,85,20,0,0.0,0.0,0.0,1.0,0,0.0,1.0,2.0,0.0,0.0,0,0.0,0.5,1500.0,1490.0,10.0,0.0,0.0,2.5822,0.0846,0.9548,0.0429,0.0023,0.5794,0.0,15.0,4.0,0.0,0.0,1.0,2.0,46.3,53.7,0,0,0
610742,84,88,2021,LIGA,1,88,18,4,1.0,0.5,0.5,0.5,1,0.5556,0.0,0.0,0.0,1.0,0,0.0,0.5,1509.7123,1500.0,9.7123,0.5,0.0,1.2873,0.2969,0.662,0.2669,0.0711,0.0,0.5837,12.0,8.0,0.0,0.0,3.0,2.0,47.1,52.9,0,0,0
610740,94,96,2021,LIGA,1,96,20,4,1.0,0.5,0.5,0.5,0,0.4444,0.5,2.5,0.0,0.0,0,0.0,0.5,1509.7123,1480.2877,29.4245,0.5,0.0,2.34,0.3607,0.8926,0.0884,0.019,1.5786,0.0,9.0,9.0,0.0,0.0,4.0,4.0,48.8,51.2,0,0,0
606009,382,359,2021,EPL,1,359,11,5,2.5,0.5,0.5,0.5,1,0.5556,0.0,2.0,0.0,0.0,0,0.0,0.5,1500.0,1480.575,19.425,0.5,0.0,4.4727,0.1168,0.9943,0.0054,0.0003,2.4393,1.0238,25.0,1.0,0.0,0.0,14.0,0.0,80.4,19.6,0,0,0
606015,381,375,2021,EPL,1,375,14,5,0.0,4.0,0.0,0.0,0,0.0,1.0,2.0,0.5,0.5,0,0.4444,0.5,1480.0,1500.0,-20.0,0.0,0.5,1.4408,1.2737,0.3977,0.309,0.2933,1.3333,0.6268,14.0,9.0,1.0,0.0,9.0,9.0,44.3,55.7,0,0,0
606017,361,376,2021,EPL,1,376,14,5,1.0,3.0,0.0,0.0,0,0.0,1.0,2.0,0.0,0.0,0,0.0,0.5,1480.0,1490.575,-10.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6793,0.5806,10.0,22.0,0.0,1.0,4.0,4.0,36.3,63.7,0,0,0
606012,371,384,2021,EPL,1,384,14,5,4.0,1.5,1.0,0.0,2,1.0,0.0,1.5,0.0,0.5,0,0.0,0.5,1520.0,1490.575,29.425,1.0,0.0,1.1908,3.4604,0.0173,0.0763,0.9064,2.2861,0.3217,14.0,9.0,0.0,0.0,5.0,3.0,45.7,54.3,0,0,0
606013,331,368,2021,EPL,1,368,14,5,2.0,0.5,1.0,0.5,2,1.0,2.5,1.5,0.5,0.0,0,0.4444,0.5,1520.0,1509.425,10.575,1.0,0.5,0.7016,1.5487,0.1307,0.2493,0.62,0.0,1.8571,14.0,14.0,0.0,1.0,4.0,5.0,65.6,34.4,0,0,0
606010,362,337,2021,EPL,1,337,14,5,2.0,1.5,0.5,0.5,1,0.5556,1.0,0.0,0.5,1.0,0,0.4444,0.5,1500.0,1509.425,-9.425,0.5,0.5,0.4315,1.1331,0.1214,0.3143,0.5643,0.0,0.7124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
610741,85,93,2021,LIGA,1,93,15,5,0.5,1.0,0.0,0.5,0,0.0,0.5,0.5,0.0,0.5,0,0.0,0.5,1490.2877,1500.2877,-10.0,0.0,0.0,0.9346,1.4523,0.1976,0.2749,0.5275,1.594,0.2467,13.0,6.0,0.0,0.0,5.0,4.0,61.8,38.2,0,0,0
606011,364,363,2021,EPL,1,363,16,5,2.5,0.0,1.0,1.0,2,1.0,2.5,0.0,1.0,1.0,2,1.0,0.5,1519.425,1519.425,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.6394,3.6413,24.0,6.0,1.0,0.0,12.0,3.0,65.7,34.3,0,0,0
610748,3751,243,2021,LIGA,1,243,17,5,0.0,0.5,0.0,0.5,0,0.0,2.0,0.0,1.0,1.0,2,1.0,0.5,1490.2877,1519.425,-29.1372,0.0,1.0,0.8554,1.7004,0.1519,0.243,0.6051,1.2179,0.8139,7.0,18.0,0.0,0.0,5.0,3.0,29.1,70.9,0,0,0
610745,89,1538,2021,LIGA,1,1538,17,5,1.5,2.0,0.5,0.5,1,0.5556,2.0,2.0,0.0,0.0,0,0.0,0.5,1500.0,1500.2877,-0.2877,0.5,0.0,0.8559,0.521,0.4164,0.3843,0.1993,0.0,0.8141,7.0,6.0,0.0,0.0,2.0,2.0,51.5,48.5,0,0,0
610747,244,86,2021,LIGA,1,86,20,5,1.0,1.0,0.0,0.0,0,0.0,3.5,2.0,0.5,0.0,0,0.4444,0.5,1500.0,1509.7123,-9.7123,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.8234,2.1484,12.0,13.0,0.0,0.0,3.0,7.0,50.9,49.1,0,0,0
606018,367,395,2021,EPL,1,395,13,6,1.0,0.0,1.0,1.0,2,1.0,1.5,2.0,0.5,0.0,0,0.4444,0.5,1519.425,1500.0,19.425,1.0,0.5,0.921,0.596,0.4144,0.361,0.2246,1.0601,0.0,15.0,9.0,0.0,0.0,10.0,3.0,57.6,42.4,0,0,0
606014,379,357,2021,EPL,1,357,13,6,0.5,2.0,0.0,0.0,0,0.0,1.5,3.5,0.0,0.0,0,0.0,0.5,1480.575,1490.575,-10.0,0.0,0.0,1.711,1.5208,0.3969,0.3278,0.2753,1.7955,0.5683,0.0,12.0,0.0,0.0,0.0,5.0,0.0,64.1,0,0,0
610743,83,2922,2021,LIGA,1,2922,15,6,2.5,1.5,0.5,0.0,0,0.4444,0.0,1.0,0.0,0.0,0,0.0,0.5,1509.7123,1480.575,29.1372,0.5,0.0,1.0512,0.2833,0.5968,0.3157,0.0875,3.4648,1.1933,7.0,8.0,0.0,0.0,3.0,2.0,66.6,33.4,0,0,0
606016,380,360,2021,EPL,1,360,15,6,0.0,1.0,0.0,0.0,0,0.0,3.0,1.0,0.5,0.0,0,0.4444,0.5,1480.575,1509.425,-28.85,0.0,0.5,1.7958,0.9441,0.6025,0.267,0.1305,1.5113,2.2617,15.0,10.0,0.0,0.0,5.0,7.0,44.1,55.9,0,0,0
610744,101,3747,2021,LIGA,1,3747,17,6,0.0,2.0,0.0,0.0,0,0.0,0.5,0.5,0.0,0.5,0,0.0,0.5,1480.0,1500.2877,-20.2877,0.0,0.0,2.1963,0.5863,0.7951,0.1496,0.0553,0.0,0.0,19.0,9.0,1.0,0.0,5.0,7.0,46.9,53.1,0,0,0
610746,3842,97,2021,LIGA,1,97,17,6,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.5,1500.0,1499.7123,0.2877,0.0,0.0,1.3615,2.2842,0.1267,0.2455,0.6278,0.5696,0.0,7.0,14.0,1.0,2.0,4.0,11.0,27.1,72.9,0,0,0
610749,1068,102,2021,LIGA,1,102,20,6,1.5,0.5,1.0,0.5,2,1.0,0.0,0.0,0.0,1.0,0,0.0,0.5,1519.7123,1500.0,19.7123,1.0,0.0,1.773,0.4487,0.7408,0.2048,0.0544,2.2691,0.5972,23.0,2.0,0.0,0.0,16.0,0.0,48.9,51.1,0,0,0
606006,384,367,2021,EPL,1,367,11,5,0.6667,1.6667,0.0,0.3333,0,0.0,1.0,0.0,1.0,1.0,3,1.0,0.5,1491.4199,1528.8665,-37.4466,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6063,1.7264,18.0,2.0,1.0,0.0,8.0,2.0,62.3,37.7,0,0,0
606007,376,371,2021,EPL,1,371,14,5,1.3333,2.0,0.0,0.0,0,0.0,3.3333,1.6667,0.6667,0.0,0,0.5833,0.5,1490.2707,1519.1551,-28.8844,0.0,0.6667,0.6921,0.7254,0.306,0.3717,0.3223,0.5875,3.0094,11.0,13.0,0.0,0.0,5.0,4.0,41.8,58.2,0,0,0
606008,395,380,2021,EPL,1,380,14,5,1.0,1.6667,0.3333,0.0,0,0.25,0.0,1.0,0.0,0.0,0,0.0,0.5,1490.5585,1471.4035,19.155,0.3333,0.0,0.1854,2.5592,0.0034,0.033,0.9636,1.3504,1.3271,6.0,14.0,0.0,0.0,6.0,8.0,44.0,56.0,0,0,0
606004,360,361,2021,EPL,1,361,14,5,2.3333,0.6667,0.6667,0.3333,1,0.6667,1.3333,2.6667,0.0,0.0,0,0.0,0.5,1518.5965,1480.3043,38.2922,0.6667,0.0,2.7733,0.622,0.8917,0.0845,0.0238,1.6425,0.0,21.0,12.0,0.0,0.0,7.0,3.0,64.1,35.9,0,0,0
606005,359,381,2021,EPL,1,381,14,5,0.0,3.0,0.0,0.0,0,0.0,0.3333,3.3333,0.0,0.0,0,0.0,0.5,1471.1335,1470.575,0.5585,0.0,0.0,2.6852,0.5773,0.8611,0.1008,0.0381,0.6301,0.025,30.0,10.0,0.0,0.0,8.0,4.0,51.9,48.1,0,0,0
606000,337,331,2021,EPL,1,331,14,5,1.0,0.3333,0.3333,0.6667,0,0.25,1.3333,1.0,0.6667,0.3333,0,0.5833,0.5,1509.1538,1509.6957,-0.5419,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,1.8882,1.6853,7.0,4.0,0.0,0.0,1.0,6.0,41.3,58.7,0,0,0
